종목코드,종목명,시가총액,섹터,,,섹터분류
031210,서울보증보험,"2,799,846,079,800",금융·지주,,,
085620,미래에셋생명,"2,798,226,000,000",금융·지주,,,
004800,효성,"2,795,647,969,000",금융·지주,,,
302440,SK바이오사이언스,"2,742,056,527,350",바이오·의료기기,,,
226950,올릭스,"2,735,406,211,800",바이오·의료기기,,,
017800,현대엘리베이터,"2,701,283,803,500",건설·운송·상사,,,
011170,롯데케미칼,"2,690,573,855,100",정유·화학·석유화학,,,
097950,CJ제일제당,"2,672,118,015,000",K소비재·유통,,,
089970,브이엠,"2,665,466,662,000",반도체,,,
489790,한화비전,"2,660,738,153,000",인터넷·소프트웨어·게임·콘텐츠,,,
012750,에스원,"2,602,943,693,000",건설·운송·상사,,,
001720,신영증권,"2,590,944,000,000",금융·지주,,,
357780,솔브레인,"2,590,262,478,000",반도체,,,
319400,현대무벡스,"2,550,511,293,100",건설·운송·상사,,,
005850,에스엘,"2,545,378,896,000",자동차·모빌리티,,,
139130,iM금융지주,"2,542,687,148,890",금융·지주,,,
131290,티에스이,"2,472,229,381,500",반도체,,,
237690,에스티팜,"2,449,813,741,200",바이오·의료기기,,,
028670,팬오션,"2,448,328,364,960",건설·운송·상사,,,
290650,엘앤씨바이오,"2,381,424,863,200",바이오·의료기기,,,
005440,현대지에프홀딩스,"2,351,036,859,080",금융·지주,,,
375500,DL이앤씨,"2,313,878,655,400",건설·운송·상사,,,
026960,동서,"2,288,115,000,000",K소비재·유통,,,
004990,롯데지주,"2,287,283,659,200",금융·지주,,,
279570,케이뱅크,"2,275,949,797,110",금융·지주,,,
009155,삼성전기우,"2,258,726,568,000",전기전자,,,
131970,두산테스나,"2,236,161,436,600",반도체,,,
003690,코리안리,"2,231,986,621,530",금융·지주,,,
020150,롯데에너지머티리얼즈,"2,204,585,992,300",2차전지·배터리소재,,,
139480,이마트,"2,193,867,610,500",K소비재·유통,,,
007810,코리아써키트,"2,187,214,944,000",전기전자,,,
000240,한국앤컴퍼니,"2,150,283,186,000",금융·지주,,,
007340,DN오토모티브,"2,150,274,288,750",자동차·모빌리티,,,
263750,펄어비스,"2,146,119,526,500",인터넷·소프트웨어·게임·콘텐츠,,,
204320,HL만도,"2,145,940,384,000",자동차·모빌리티,,,
161890,한국콜마,"2,140,980,483,900",K소비재·유통,,,
009970,영원무역홀딩스,"2,132,198,278,200",K소비재·유통,,,
420770,기가비스,"2,113,048,858,600",반도체,,,
030000,제일기획,"2,068,441,225,500",인터넷·소프트웨어·게임·콘텐츠,,,
081660,미스토홀딩스,"2,059,963,392,000",K소비재·유통,,,
043260,성호전자,"2,049,669,584,700",전기전자,,,
010170,대한광통신,"2,033,752,432,800",전기전자,,,
098460,고영,"2,028,748,010,250",전기전자,,,
004370,농심,"2,004,230,539,000",K소비재·유통,,,
282330,BGF리테일,"1,999,747,924,200",K소비재·유통,,,
006360,GS건설,"1,994,048,717,000",건설·운송·상사,,,
257720,실리콘투,"1,993,518,060,800",K소비재·유통,,,
051600,한전KPS,"1,977,750,000,000",전력기기·전력인프라·원전,,,
000155,두산우,"1,968,257,535,000",금융·지주,,,
001740,SK네트웍스,"1,947,766,662,190",건설·운송·상사,,,
457190,이수스페셜티케미컬,"1,924,942,146,400",정유·화학·석유화학,,,
089030,테크윙,"1,919,378,811,000",반도체,,,
032820,우리기술,"1,916,829,927,620",전력기기·전력인프라·원전,,,
439260,대한조선,"1,896,818,754,000",조선·방산·우주항공,,,
071970,HD현대마린엔진,"1,879,250,823,000",조선·방산·우주항공,,,
018670,SK가스,"1,879,220,532,000",전력기기·전력인프라·원전,,,
097230,HJ중공업,"1,864,598,853,600",조선·방산·우주항공,,,
462870,시프트업,"1,818,284,540,000",인터넷·소프트웨어·게임·콘텐츠,,,
183300,코미코,"1,816,205,404,000",반도체,,,
00680K,미래에셋증권2우B,"1,812,720,000,000",금융·지주,,,
008770,호텔신라,"1,803,451,159,950",K소비재·유통,,,
007070,GS리테일,"1,793,379,051,750",K소비재·유통,,,
008930,한미사이언스,"1,785,019,455,000",바이오·의료기기,,,
103140,풍산,"1,771,134,369,600",조선·방산·우주항공,,,
093370,후성,"1,760,059,965,300",정유·화학·석유화학,,,
068760,셀트리온제약,"1,747,231,764,200",바이오·의료기기,,,
395400,SK리츠,"1,709,780,081,600",금융·지주,,,
035900,JYP Ent.,"1,702,006,366,800",인터넷·소프트웨어·게임·콘텐츠,,,
120110,코오롱인더,"1,697,940,014,400",정유·화학·석유화학,,,
140860,파크시스템스,"1,691,096,263,500",인터넷·소프트웨어·게임·콘텐츠,,,
140410,메지온,"1,689,804,485,200",바이오·의료기기,,,
082920,비츠로셀,"1,675,293,675,150",전력기기·전력인프라·원전,,,
192820,코스맥스,"1,644,543,854,100",K소비재·유통,,,
000120,CJ대한통운,"1,637,926,299,200",건설·운송·상사,,,
281820,케이씨텍,"1,637,349,264,700",반도체,,,
112610,씨에스윈드,"1,623,599,015,500",전력기기·전력인프라·원전,,,
218410,RFHIC,"1,609,138,585,200",전기전자,,,
011210,현대위아,"1,607,229,405,300",자동차·모빌리티,,,
058610,에스피지,"1,605,640,864,000",건설·운송·상사,,,
002790,아모레퍼시픽홀딩스,"1,563,569,781,000",K소비재·유통,,,
030530,원익홀딩스,"1,552,483,418,100",전기전자,,,
020560,아시아나항공,"1,546,990,239,610",건설·운송·상사,,,
007390,네이처셀,"1,533,554,332,800",바이오·의료기기,,,
041510,에스엠,"1,522,496,885,000",인터넷·소프트웨어·게임·콘텐츠,,,
083650,비에이치아이,"1,516,274,375,000",전력기기·전력인프라·원전,,,
475150,SK이터닉스,"1,471,694,572,800",전력기기·전력인프라·원전,,,
229640,LS에코에너지,"1,463,869,216,200",전력기기·전력인프라·원전,,,
023590,다우기술,"1,463,111,145,600",인터넷·소프트웨어·게임·콘텐츠,,,
096530,씨젠,"1,462,327,832,000",바이오·의료기기,,,
0009K0,에임드바이오,"1,451,867,564,450",바이오·의료기기,,,
001800,오리온홀딩스,"1,443,976,977,100",K소비재·유통,,,
073240,금호타이어,"1,433,428,832,130",자동차·모빌리티,,,
078600,대주전자재료,"1,379,322,756,600",2차전지·배터리소재,,,
006280,녹십자,"1,377,842,830,200",바이오·의료기기,,,
006040,동원산업,"1,366,158,348,050",K소비재·유통,,,
001820,삼화콘덴서,"1,357,587,000,000",전기전자,,,
039200,오스코텍,"1,344,774,886,400",바이오·의료기기,,,
017960,한국카본,"1,320,334,217,300",조선·방산·우주항공,,,
322000,HD현대에너지솔루션,"1,318,240,000,000",전력기기·전력인프라·원전,,,
001120,LX인터내셔널,"1,317,840,000,000",건설·운송·상사,,,
003540,대신증권,"1,282,174,826,150",금융·지주,,,
192080,더블유게임즈,"1,270,408,080,000",인터넷·소프트웨어·게임·콘텐츠,,,
069620,대웅제약,"1,243,239,497,500",바이오·의료기기,,,
000815,삼성화재우,"1,232,878,200,000",금융·지주,,,
415640,KB발해인프라,"1,231,582,757,400",전력기기·전력인프라·원전,,,
458870,씨어스,"1,225,523,628,000",바이오·의료기기,,,
323280,태성,"1,215,411,604,000",반도체,,,
127120,제이에스링크,"1,214,211,300,900",인터넷·소프트웨어·게임·콘텐츠,,,
066575,LG전자우,"1,212,999,709,400",전기전자,,,
060370,LS마린솔루션,"1,204,105,584,700",조선·방산·우주항공,,,
031330,에스에이엠티,"1,199,940,804,000",건설·운송·상사,,,
007310,오뚜기,"1,182,309,850,000",K소비재·유통,,,
361610,SK아이이테크놀로지,"1,176,916,369,000",2차전지·배터리소재,,,
294870,IPARK현대산업개발,"1,167,218,814,300",건설·운송·상사,,,
195870,해성디에스,"1,164,500,000,000",반도체,,,
166090,하나머티리얼즈,"1,160,949,463,800",반도체,,,
001430,세아베스틸지주,"1,156,553,337,750",철강·비철금속,,,
005070,코스모신소재,"1,150,884,885,150",2차전지·배터리소재,,,
034230,파라다이스,"1,149,530,630,620",K소비재·유통,,,
012630,HDC,"1,142,859,122,730",건설·운송·상사,,,
298020,효성티앤씨,"1,140,344,207,000",정유·화학·석유화학,,,
476830,알지노믹스,"1,135,608,123,000",바이오·의료기기,,,
003570,SNT다이내믹스,"1,132,254,332,850",조선·방산·우주항공,,,
032350,롯데관광개발,"1,129,709,739,860",K소비재·유통,,,
082640,동양생명,"1,098,680,570,240",금융·지주,,,
004000,롯데정밀화학,"1,095,210,000,000",정유·화학·석유화학,,,
101490,에스앤에스텍,"1,094,479,292,700",반도체,,,
195940,HK이노엔,"1,080,785,341,650",바이오·의료기기,,,
077970,STX엔진,"1,079,982,894,700",조선·방산·우주항공,,,
051915,LG화학우,"1,071,049,840,000",정유·화학·석유화학,,,
475830,오름테라퓨틱,"1,070,775,787,000",바이오·의료기기,,,
181710,NHN,"1,057,926,389,700",인터넷·소프트웨어·게임·콘텐츠,,,
030610,교보증권,"1,055,297,018,860",금융·지주,,,
057050,현대홈쇼핑,"1,047,600,000,000",K소비재·유통,,,
437730,삼현,"1,032,081,305,850",전기전자,,,
232140,와이씨,"1,028,848,689,000",반도체,,,
003380,하림지주,"1,022,611,319,730",금융·지주,,,
330590,롯데리츠,"1,020,060,160,520",금융·지주,,,
204270,제이앤티씨,"1,011,191,185,680",전기전자,,,
003530,한화투자증권,"1,004,083,587,000",금융·지주,,,
000080,하이트진로,"1,000,105,292,860",K소비재·유통,,,
089860,롯데렌탈,"991,246,292,400",K소비재·유통,,,
085660,차바이오텍,"974,355,426,080",바이오·의료기기,,,
100790,미래에셋벤처투자,"961,555,875,400",금융·지주,,,
300720,한일시멘트,"960,500,429,540",건설·운송·상사,,,
036540,SFA반도체,"945,646,742,250",반도체,,,
003090,대웅,"921,550,383,000",건설·운송·상사,,,
417200,LS머트리얼즈,"908,575,210,370",2차전지·배터리소재,,,
038500,삼표시멘트,"901,101,155,100",건설·운송·상사,,,
397030,에이프릴바이오,"900,261,609,700",바이오·의료기기,,,
100090,SK오션플랜트,"898,435,495,020",조선·방산·우주항공,,,
347700,스피어,"891,630,962,600",철강·비철금속,,,
281740,레이크머티리얼즈,"889,991,619,920",2차전지·배터리소재,,,
005300,롯데칠성,"889,844,975,600",K소비재·유통,,,
006120,SK디스커버리,"889,842,676,100",금융·지주,,,
090710,휴림로봇,"887,127,995,180",전기전자,,,
003240,태광산업,"885,153,000,000",정유·화학·석유화학,,,
185750,종근당,"884,758,198,000",바이오·의료기기,,,
099320,쎄트렉아이,"873,911,984,400",조선·방산·우주항공,,,
083450,GST,"869,896,000,000",반도체,,,
000210,DL,"864,430,215,000",금융·지주,,,
388210,씨엠티엑스,"863,106,757,200",인터넷·소프트웨어·게임·콘텐츠,,,
009450,경동나비엔,"862,460,646,400",전력기기·전력인프라·원전,,,
192400,쿠쿠홀딩스,"862,382,986,250",K소비재·유통,,,
451800,한화리츠,"862,080,000,000",금융·지주,,,
074600,원익QnC,"856,988,800,000",반도체,,,
071055,한국금융지주우,"847,688,919,700",금융·지주,,,
280360,롯데웰푸드,"845,900,350,600",K소비재·유통,,,
365550,ESR켄달스퀘어리츠,"844,085,270,000",금융·지주,,,
491000,리브스메드,"826,395,122,550",바이오·의료기기,,,
161580,필옵틱스,"813,445,970,900",반도체,,,
003470,유안타증권,"808,293,027,890",금융·지주,,,
090360,로보스타,"806,325,000,000",전기전자,,,
036530,SNT홀딩스,"802,151,191,200",금융·지주,,,
137400,피엔티,"794,823,924,400",2차전지·배터리소재,,,
388720,유일로보틱스,"790,528,249,500",전기전자,,,
056190,SFA,"789,992,720,000",전기전자,,,
065350,신성델타테크,"772,298,938,800",인터넷·소프트웨어·게임·콘텐츠,,,
030190,NICE평가정보,"771,741,003,700",금융·지주,,,
086450,동국제약,"770,274,052,600",바이오·의료기기,,,
032500,케이엠더블유,"762,404,037,070",전기전자,,,
189300,인텔리안테크,"754,846,039,100",전기전자,,,
213420,덕산네오룩스,"753,626,282,650",전기전자,,,
356860,티엘비,"753,179,458,000",반도체,,,
071320,지역난방공사,"750,302,611,200",전력기기·전력인프라·원전,,,
075580,세진중공업,"744,727,873,600",조선·방산·우주항공,,,
009240,한샘,"742,495,428,400",K소비재·유통,,,
115180,큐리언트,"738,591,609,690",바이오·의료기기,,,
328130,루닛,"735,646,818,400",바이오·의료기기,,,
137310,에스디바이오센서,"735,362,031,180",바이오·의료기기,,,
456040,OCI,"732,314,091,000",정유·화학·석유화학,,,
248070,솔루엠,"731,588,410,800",전기전자,,,
122870,와이지엔터테인먼트,"730,820,015,900",인터넷·소프트웨어·게임·콘텐츠,,,
048410,현대바이오,"730,547,180,040",바이오·의료기기,,,
036830,솔브레인홀딩스,"729,941,723,600",금융·지주,,,
466100,클로봇,"729,407,197,350",전기전자,,,
252990,샘씨엔에스,"715,990,700,210",반도체,,,
214320,이노션,"714,800,000,000",인터넷·소프트웨어·게임·콘텐츠,,,
006650,대한유화,"713,700,000,000",정유·화학·석유화학,,,
079160,CJ CGV,"713,660,450,010",인터넷·소프트웨어·게임·콘텐츠,,,
122640,예스티,"712,333,644,000",반도체,,,
005690,파미셀,"710,447,525,760",전기전자,,,
006340,대원전선,"708,866,320,640",전력기기·전력인프라·원전,,,
000670,영풍,"707,890,761,350",철강·비철금속,,,
376900,로킷헬스케어,"706,383,610,500",바이오·의료기기,,,
298050,HS효성첨단소재,"706,039,804,800",정유·화학·석유화학,,,
490470,세미파이브,"706,027,880,000",반도체,,,
241710,코스메카코리아,"705,948,000,000",K소비재·유통,,,
003850,보령,"696,592,120,840",바이오·의료기기,,,
00088K,한화3우B,"690,798,099,600",금융·지주,,,
064960,SNT모티브,"688,720,058,400",자동차·모빌리티,,,
004490,세방전지,"682,605,000,000",2차전지·배터리소재,,,
090460,비에이치,"673,556,529,240",전기전자,,,
003160,디아이,"673,540,000,000",반도체,,,
025540,한국단자,"671,636,000,000",자동차·모빌리티,,,
053610,프로텍,"669,600,000,000",반도체,,,
035760,CJ ENM,"668,839,197,000",인터넷·소프트웨어·게임·콘텐츠,,,
499790,GS피앤엘,"668,299,341,700",K소비재·유통,,,
445680,큐리옥스바이오시스템즈,"666,626,131,250",바이오·의료기기,,,
014620,성광벤드,"666,589,836,400",철강·비철금속,,,
033100,제룡전기,"664,983,732,600",전력기기·전력인프라·원전,,,
019210,와이지-원,"656,097,361,920",철강·비철금속,,,
000370,한화손해보험,"653,737,924,000",금융·지주,,,
050890,쏠리드,"650,094,913,800",전기전자,,,
222080,SFA넥셀,"645,575,195,200",2차전지·배터리소재,,,
285130,SK케미칼,"645,243,971,800",정유·화학·석유화학,,,
032190,다우데이타,"642,674,000,000",인터넷·소프트웨어·게임·콘텐츠,,,
114090,GKL,"640,824,741,200",K소비재·유통,,,
001570,금양,"633,275,240,400",2차전지·배터리소재,,,
010780,아이에스동서,"630,907,798,400",건설·운송·상사,,,
00104K,CJ4우(전환),"626,369,078,400",금융·지주,,,
094170,동운아나텍,"626,252,583,200",바이오·의료기기,,,
046890,서울반도체,"625,616,942,000",반도체,,,
293940,신한알파리츠,"625,260,435,910",금융·지주,,,
358570,지아이이노베이션,"623,339,372,700",바이오·의료기기,,,
293490,카카오게임즈,"622,223,293,230",인터넷·소프트웨어·게임·콘텐츠,,,
108320,LX세미콘,"621,296,260,000",반도체,,,
002350,넥센타이어,"620,191,018,950",자동차·모빌리티,,,
102710,이엔에프테크놀로지,"620,092,082,400",반도체,,,
006380,카프로,"618,539,985,360",정유·화학·석유화학,,,
295310,에이치브이엠,"617,989,605,300",철강·비철금속,,,
023160,태광,"615,640,359,600",철강·비철금속,,,
002960,한국쉘석유,"612,950,000,000",정유·화학·석유화학,,,
069260,TKG휴켐스,"611,134,890,600",정유·화학·석유화학,,,
041830,인바디,"608,661,822,300",바이오·의료기기,,,
160190,하이젠알앤엠,"606,640,320,000",전기전자,,,
093050,LF,"605,268,000,000",K소비재·유통,,,
456160,지투지바이오,"598,659,336,000",바이오·의료기기,,,
052020,에스티큐브,"598,252,960,800",바이오·의료기기,,,
253450,스튜디오드래곤,"593,955,920,480",인터넷·소프트웨어·게임·콘텐츠,,,
006730,서부T&D,"590,834,999,300",K소비재·유통,,,
383310,에코프로에이치엔,"590,444,335,800",정유·화학·석유화학,,,
005180,빙그레,"585,802,759,200",K소비재·유통,,,
033240,자화전자,"585,509,104,200",전기전자,,,
317450,명인제약,"581,080,000,000",바이오·의료기기,,,
